id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1524736157892091910,1524736157892091910,2022-05-12 15:00:02 Střední Evropa (letní čas),2022-05-12,15:00:02,+0200,1424994036293586947,nftwhalealert,NFT Whale Alert,,P̳ast H̳our S̳tats S̳ales: Ragnarok Meta: 39 Otherdeed for Otherside: 34 IO: Imaginary Ones: 17 EtherOrcs Genesis: 13  V̳olume: Otherdeed for Otherside: Ξ184.67 Mutant Ape Yacht Club: Ξ108.20 Azuki: Ξ105.48 Bored Ape Yacht Club: Ξ87.00,en,[],[],[],2,0,1,[],[],https://twitter.com/nftwhalealert/status/1524736157892091910,False,,0,,,,,,,,[],,,,
1524731423994699776,1524731423994699776,2022-05-12 14:41:14 Střední Evropa (letní čas),2022-05-12,14:41:14,+0200,1504682296208928770,alexand16065386,Alexa ✨ Crypto Hub ✨ David,,"I want this @VinciProtocol and they're so #bullish because of all the upcoming  events and $VCI token airdrop.  Take a look at their later best sale #NFT ""Bored Ape Yacht Club #17""   $VCI it won't let you down 💯  Welcome, lend and be Vincians!  https://t.co/veyJuorwCy #Defi #NFTs",en,"[{'screen_name': 'vinciprotocol', 'name': 'vinci protocol🔻', 'id': '1469979439714865152'}]",['http://app.vinci.io'],[],1,0,0,"['bullish', 'nft', 'defi', 'nfts']","['vci', 'vci']",https://twitter.com/alexand16065386/status/1524731423994699776,False,https://twitter.com/VinciProtocol/status/1524328629689225216,0,,,,,,,,[],,,,
1524669195216109571,1524654779473014784,2022-05-12 10:33:57 Střední Evropa (letní čas),2022-05-12,10:33:57,+0200,1655464662,accnftofficial,ART CATS COLLECTIVE / NFT ART MOVEMENT,,More GREAT communities:  12. @Cryptoon_Goonz  13. @loserclubreborn  14. @FangGangNFT  15. @0xApes_NFT  16. @LazyLionsNFT  17. @SquishiverseNFT  18. @AzukiOfficial  19. @BoredApeYC  20. @moonbirds   What is your favorite NFT community?  #NFTCommunity,en,"[{'screen_name': 'cryptoon_goonz', 'name': 'cryptoon goonz 🔫👺', 'id': '1211989406959034369'}, {'screen_name': 'loserclubreborn', 'name': 'loser club', 'id': '1488191770399760385'}, {'screen_name': 'fanggangnft', 'name': 'fang gang', 'id': '1409482426343174146'}, {'screen_name': '0xapes_nft', 'name': '0xapes', 'id': '1474048827938201603'}, {'screen_name': 'lazylionsnft', 'name': 'lazy lions | lazy cubs 🦁👑', 'id': '1420034701553717249'}, {'screen_name': 'squishiversenft', 'name': 'the squishiverse', 'id': '1471293202099408897'}, {'screen_name': 'azukiofficial', 'name': 'azuki', 'id': '1432583226707484676'}, {'screen_name': 'boredapeyc', 'name': 'bored ape yacht club', 'id': '1381699264011771906'}, {'screen_name': 'moonbirds', 'name': 'moonbirds (\U0001fab9, 🦉)', 'id': '1498857371547828224'}]",[],[],2,10,13,['nftcommunity'],[],https://twitter.com/ACCNFTOfficial/status/1524669195216109571,False,,0,,,,,,,,[],,,,
1524667486863597568,1524667486863597568,2022-05-12 10:27:10 Střední Evropa (letní čas),2022-05-12,10:27:10,+0200,1385176729711374341,0xbotfather,NFT FLOOR PRICE UPDATES,,Featured Collection: @TheLoomSociety  Daily floor price update  Cryptopunks: 50.0Ξ (📉 -5.57%) Goons of Balatroon: 0.194Ξ (📉 -14.89%) Bored Ape YC: 98.0Ξ (📉 -4.57%) Mutant Ape Yacht Club: 18.5Ξ (📉 -17.78%) CrypToadz by GREMPLIN: 2.05Ξ (📉 nan%),sl,"[{'screen_name': 'theloomsociety', 'name': 'theloomsociety', 'id': '1457607420318937095'}]",[],[],1,0,1,[],[],https://twitter.com/0xbotfather/status/1524667486863597568,False,,0,,,,,,,,[],,,,
1524649403927392256,1524649403927392256,2022-05-12 09:15:19 Střední Evropa (letní čas),2022-05-12,09:15:19,+0200,1435327395276328961,nftgobot,NFT Whale Alert｜NFT Analytics Platform 📊,,"🐳🐳🐳 NFT Whale Trade  ➡️Transfer: [nftshot.eth] -&gt; [🐳0xe71879] ✨NFT: Bored Ape Yacht Club #8126  https://t.co/3UNO2FveMh 💰Price: 111 WETH ($202,331.17) 🛢️Gas: 0.1933 ETH ($352.12)  #BAYC #boredapeyachtclub",de,[],['https://nftgo.io/asset/ETH/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/8126'],[],0,0,0,"['bayc', 'boredapeyachtclub']",[],https://twitter.com/nftgobot/status/1524649403927392256,False,,0,,,,,,,,[],,,,
1524576607977025537,1524576607977025537,2022-05-12 04:26:03 Střední Evropa (letní čas),2022-05-12,04:26:03,+0200,1385176729711374341,0xbotfather,NFT FLOOR PRICE UPDATES,,Featured Collection: @TheLoomSociety  Daily floor price update  Cryptopunks: 51.95Ξ (📉 -1.89%) Goons of Balatroon: 0.194Ξ (📉 -17.45%) Bored Ape YC: 98.0Ξ (📉 -0.9%) Mutant Ape Yacht Club: 19.48Ξ (📈 2.53%) CLONE X  X TAKASHI MURAKAMI: 13.45Ξ (📉 -10.27%),und,"[{'screen_name': 'theloomsociety', 'name': 'theloomsociety', 'id': '1457607420318937095'}]",[],[],1,0,0,[],[],https://twitter.com/0xbotfather/status/1524576607977025537,False,,0,,,,,,,,[],,,,
1524546781765419009,1524546781765419009,2022-05-12 02:27:32 Střední Evropa (letní čas),2022-05-12,02:27:32,+0200,1385176729711374341,0xbotfather,NFT FLOOR PRICE UPDATES,,Featured Collection: @TheLoomSociety  Daily floor price update  Cryptopunks: 51.95Ξ (📉 -1.89%) Goons of Balatroon: 0.194Ξ (📉 -17.45%) Bored Ape YC: 99.69Ξ (📉 -0.1%) Mutant Ape Yacht Club: 19.5Ξ (📈 2.63%) CLONE X  X TAKASHI MURAKAMI: 13.45Ξ (📉 -13.23%),und,"[{'screen_name': 'theloomsociety', 'name': 'theloomsociety', 'id': '1457607420318937095'}]",[],[],1,0,0,[],[],https://twitter.com/0xbotfather/status/1524546781765419009,False,,0,,,,,,,,[],,,,
1524537539138310146,1524515030862946304,2022-05-12 01:50:48 Střední Evropa (letní čas),2022-05-12,01:50:48,+0200,515077417,thewolfofblockc,The Wolf of Blockchain,,@0xMetaMatthew @rhearajj @BoredApeYC Scratch that! Koda just sold to a lucky new home after sitting on the BUY NOW for a week... Freed up liquidity  (17 ETH) for either a  1) Mutant or  2) Clone X Since ETH is more desirable than a trade I think this is better,en,[],[],[],1,0,1,[],[],https://twitter.com/TheWolfOfBlockC/status/1524537539138310146,False,,0,,,,,,,,"[{'screen_name': '0xMetaMatthew', 'name': 'MetaMatthew', 'id': '1378491596312768512'}, {'screen_name': 'rhearajj', 'name': 'RHEA RAJ', 'id': '813668360'}, {'screen_name': 'BoredApeYC', 'name': 'Bored Ape Yacht Club', 'id': '1381699264011771906'}]",,,,
1524535565835771904,1524535565835771904,2022-05-12 01:42:58 Střední Evropa (letní čas),2022-05-12,01:42:58,+0200,1443135612689731589,trengible,Trengible - Discover the nft trends,,"🚨 - nft_metaman just bought #3158 for 88 ETH ($181,977.84)  Collection: Bored Ape Yacht Club Date: 2022-05-11 22:07:17 (GMT 0)  Detail:  https://t.co/B80sbXTGzd  https://t.co/n4sYdPBB1k",en,[],['https://trengible.com/boredapeyachtclub/3158-0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d-3158'],['https://pbs.twimg.com/media/FSg9BK8XMAEDupg.png'],0,0,0,[],[],https://twitter.com/Trengible/status/1524535565835771904,False,,1,https://pbs.twimg.com/media/FSg9BK8XMAEDupg.png,,,,,,,[],,,,
1524524767185088512,1524524767185088512,2022-05-12 01:00:03 Střední Evropa (letní čas),2022-05-12,01:00:03,+0200,1424994036293586947,nftwhalealert,NFT Whale Alert,,P̳ast H̳our S̳tats S̳ales: Otherdeed for Otherside: 152 Azuki: 28 IO: Imaginary Ones: 18 Kuroro Ferry Tickets: 17  V̳olume: Otherdeed for Otherside: Ξ474.01 Azuki: Ξ226.18 Bored Ape Yacht Club: Ξ194.75 Doodles: Ξ98.59 PXN: Ghost Division: Ξ57.39,und,[],[],[],1,1,3,[],[],https://twitter.com/nftwhalealert/status/1524524767185088512,False,,0,,,,,,,,[],,,,
