id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1524155019984994304,1524155019984994304,2022-05-11 00:30:48 Střední Evropa (letní čas),2022-05-11,00:30:48,+0200,1444011503275810822,coinbase_nft,Coinbase NFT,,Don't miss tomorrow's ⚔️WARRIOR MINT⚔️ by our partners @forgottenrunes! Secondary sales available on Coinbase NFT w/ zero transaction fees.  Get @CoinbaseWallet &amp; summon your inner warrior:  https://t.co/H1PcOwLY34  https://t.co/b7Ue0bbJQD,en,"[{'screen_name': 'forgottenrunes', 'name': 'forgotten runes wizards & warriors', 'id': '1395820842337153025'}, {'screen_name': 'coinbasewallet', 'name': 'coinbase wallet', 'id': '790627436832579584'}]",['https://www.forgottenrunes.com/warriors'],['https://pbs.twimg.com/media/FSbdPjqUYAE5iTJ.jpg'],86,86,1015,[],[],https://twitter.com/Coinbase_NFT/status/1524155019984994304,False,,1,https://pbs.twimg.com/media/FSbdPjqUYAE5iTJ.jpg,,,,,,,[],,,,
1524071062228537344,1524071055689601024,2022-05-10 18:57:11 Střední Evropa (letní čas),2022-05-10,18:57:11,+0200,1444011503275810822,coinbase_nft,Coinbase NFT,,"Q3: What's special about what you’re bringing to Coinbase NFT?  A3: ""New exclusive work from my last 3-month trip in Patagonia. Each piece is the result of hundreds of kilometres hiked, weeks exploring the wilderness and hours spent creating behind the computer.""",en,[],[],[],15,7,28,[],[],https://twitter.com/Coinbase_NFT/status/1524071062228537344,False,,0,,,,,,,,[],,,,
1522651335748833280,1522651333051912192,2022-05-06 20:55:42 Střední Evropa (letní čas),2022-05-06,20:55:42,+0200,1444011503275810822,coinbase_nft,Coinbase NFT,,✨WEB3 SOCIAL✨  We’re building a place that’s for more than just buying and selling. On Coinbase NFT you can:  🤝Follow other profiles  💬Post comments on NFTs  ⬆️Up/Downvote comments,en,[],[],[],12,7,61,[],[],https://twitter.com/Coinbase_NFT/status/1522651335748833280,False,,0,,,,,,,,[],,,,
1521915889741811712,1521915889741811712,2022-05-04 20:13:18 Střední Evropa (letní čas),2022-05-04,20:13:18,+0200,1444011503275810822,coinbase_nft,Coinbase NFT,,🚂FOLLOW TRAIN🚂  Drop a link to your new profile on Coinbase NFT so you can track all your new frens!  👇,en,[],[],[],1304,384,2368,[],[],https://twitter.com/Coinbase_NFT/status/1521915889741811712,False,,0,,,,,,,,[],,,,
1521557180951916544,1521557175105036288,2022-05-03 20:27:55 Střední Evropa (letní čas),2022-05-03,20:27:55,+0200,1444011503275810822,coinbase_nft,Coinbase NFT,,"Q3: What's special about what you’re bringing to Coinbase NFT?  A3: ""My co-founder Janet and I were childhood best friends. As kids we would spend summers writing comics and making games together. Ghxsts is an evolution of our lifetime of creating.""",en,[],[],[],45,4,57,[],[],https://twitter.com/Coinbase_NFT/status/1521557180951916544,False,,0,,,,,,,,[],,,,
1521557175105036288,1521557175105036288,2022-05-03 20:27:54 Střední Evropa (letní čas),2022-05-03,20:27:54,+0200,1444011503275810822,coinbase_nft,Coinbase NFT,,"It's time to welcome all the @Ghxsts, Demxns, Alixns &amp; more into our NFT ✨SPOTLIGHT✨  Let's dive in! 🧵👇  https://t.co/oJdzG81f76",en,"[{'screen_name': 'ghxsts', 'name': 'ghxsts | nft collectibles', 'id': '1388651148266008576'}]",[],['https://pbs.twimg.com/media/FR2n8MOVgAE3Jq8.jpg'],120,93,509,[],[],https://twitter.com/Coinbase_NFT/status/1521557175105036288,False,,1,https://pbs.twimg.com/media/FR2n8MOVgAE3Jq8.jpg,,,,,,,[],,,,
1519749145119973376,1519749137201205248,2022-04-28 20:43:26 Střední Evropa (letní čas),2022-04-28,20:43:26,+0200,1444011503275810822,coinbase_nft,Coinbase NFT,,"Q3: What's special about what the team's bringing to Coinbase NFT?  A3: ""We are bringing a hyper-realistic 3D PFP collection, Non-Fungible People, and each NFP includes a fully-rigged 3D model and Snap Lens for use in video streaming, gaming, and other VR/AR experiences.""",en,[],[],[],39,10,67,[],[],https://twitter.com/Coinbase_NFT/status/1519749145119973376,False,,0,,,,,,,,[],,,,
1519749141446144000,1519749137201205248,2022-04-28 20:43:25 Střední Evropa (letní čas),2022-04-28,20:43:25,+0200,1444011503275810822,coinbase_nft,Coinbase NFT,,"Q1: How would you describe your brand?  A1: ""Daz 3D is a leader in NFT strategy, marketing, and full-stack development, including generative PFP collections. We’ve worked with trendsetting, iconic brands like Warner Bros., RTFKT (now Nike), Champion &amp; Coca-Cola, among others.""",en,[],[],[],3,4,30,[],[],https://twitter.com/Coinbase_NFT/status/1519749141446144000,False,,0,,,,,,,,[],,,,
1519749137201205248,1519749137201205248,2022-04-28 20:43:24 Střední Evropa (letní čas),2022-04-28,20:43:24,+0200,1444011503275810822,coinbase_nft,Coinbase NFT,,"We’re excited to announce our newest launch partner, @daz3d! Daz is a market leader in NFTs and 3D NFT utility with some must-have collections that'll live on Coinbase NFT.   We’re featuring @NFungiblePeople and more coming soon.🧵👇  https://t.co/9UcukSD0VL",en,"[{'screen_name': 'daz3d', 'name': 'daz 3d', 'id': '16380439'}, {'screen_name': 'nfungiblepeople', 'name': 'nfp-nonfungiblepeople', 'id': '1462508787076460548'}]",[],['https://pbs.twimg.com/media/FRc7YAjVcAE4i-U.jpg'],173,178,531,[],[],https://twitter.com/Coinbase_NFT/status/1519749137201205248,False,,1,https://pbs.twimg.com/media/FRc7YAjVcAE4i-U.jpg,,,,,,,[],,,,
1519412128331046919,1519407318139478018,2022-04-27 22:24:15 Střední Evropa (letní čas),2022-04-27,22:24:15,+0200,1444011503275810822,coinbase_nft,Coinbase NFT,,"@VoodooDoubloon We plan to allow users to mint NFT's in the future! If you'd like to keep up to date with product updates such as this, you may view the minting help page for creators, found here:  https://t.co/RxrfQWgVgy",en,[],['https://help.coinbase.com/en/nft/creators/mint'],[],16,0,3,[],[],https://twitter.com/Coinbase_NFT/status/1519412128331046919,False,,0,,,,,,,,"[{'screen_name': 'VoodooDoubloon', 'name': 'VoodooDoubloon', 'id': '1232724881315287040'}]",,,,
